"ServiceKey","ModuleKey","ModuleNameAr","ServiceNameAr","OriginalHref","OriginalUrl","OriginalFields","OriginalActions","OriginalStates","OriginalValidations","OriginalTables","OriginalFilters","OriginalExports","OriginalPermissions","LocalRoute","LocalApi","LocalEntity","Migration","LocalService","CatalogStatus","ParityStatus","EvidenceSource","EvidenceCapturedAt","TestCoverage","AcceptanceChecklist"
"programs-projects-designs.suppliers_database","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","قاعدة بيانات الموردين","suppliers_database.php","https://www.sarh.org.sa/rafed/suppliers_database.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.suppliers_database","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.suppliers_remove","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","حذف حساب مورد","suppliers_remove.php","https://www.sarh.org.sa/rafed/suppliers_remove.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.suppliers_remove","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.suppliers_restore","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","استعادة حساب مورد","suppliers_restore.php","https://www.sarh.org.sa/rafed/suppliers_restore.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.suppliers_restore","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_idea_create","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","تقديم اقتراح برنامج","program_idea_create.php","https://www.sarh.org.sa/rafed/program_idea_create.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_idea_create","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_idea_pending","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","المقترحات قيد الاعتماد","program_idea_pending.php","https://www.sarh.org.sa/rafed/program_idea_pending.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_idea_pending","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_idea_marketing","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","المقترحات قيد التسويق","program_idea_marketing.php","https://www.sarh.org.sa/rafed/program_idea_marketing.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_idea_marketing","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_idea_approved","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","المقترحات المعتمدة / الجارية","program_idea_approved.php","https://www.sarh.org.sa/rafed/program_idea_approved.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_idea_approved","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_idea_note","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","المقترحات المرفوضة مع ملاحظه","program_idea_note.php","https://www.sarh.org.sa/rafed/program_idea_note.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_idea_note","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_idea_rejected","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","المقترحات المرفوضة نهائياً","program_idea_rejected.php","https://www.sarh.org.sa/rafed/program_idea_rejected.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_idea_rejected","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_idea_cancelled","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","المقترحات الملغاة","program_idea_cancelled.php","https://www.sarh.org.sa/rafed/program_idea_cancelled.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_idea_cancelled","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_idea_completed","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","مقترحات البرامج المكتملة","program_idea_completed.php","https://www.sarh.org.sa/rafed/program_idea_completed.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_idea_completed","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_approval_idea","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","اعتمادات مقترحات البرامج","program_approval_idea.php","https://www.sarh.org.sa/rafed/program_approval_idea.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_approval_idea","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_approval_update_team","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","برامج بحاجة لتسجيل الفريق","program_approval_update_team.php","https://www.sarh.org.sa/rafed/program_approval_update_team.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_approval_update_team","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_approval_team","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","اعتمادات فرق البرامج","program_approval_team.php","https://www.sarh.org.sa/rafed/program_approval_team.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_approval_team","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_approval_update_budget","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","برامج بحاجة لتقديم الميزانية","program_approval_update_budget.php","https://www.sarh.org.sa/rafed/program_approval_update_budget.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_approval_update_budget","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_approval_budget","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","اعتمادات الخطط و الميزانية","program_approval_budget.php","https://www.sarh.org.sa/rafed/program_approval_budget.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_approval_budget","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_approval_marketing","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","نشر برنامج للتسويق","program_approval_marketing.php","https://www.sarh.org.sa/rafed/program_approval_marketing.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_approval_marketing","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_approval_marketing_complete","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","برامج مكتملة التسويق","program_approval_marketing_complete.php","https://www.sarh.org.sa/rafed/program_approval_marketing_complete.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_approval_marketing_complete","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_approval_complete","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","برامج منتهية بحاجة للإكمال","program_approval_complete.php","https://www.sarh.org.sa/rafed/program_approval_complete.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_approval_complete","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_approval_history","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","برامج قمت باعتمادها","program_approval_history.php","https://www.sarh.org.sa/rafed/program_approval_history.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_approval_history","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manage_dashboard","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","لوحة تحكم البرامج","program_manage_dashboard.php","https://www.sarh.org.sa/rafed/program_manage_dashboard.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manage_dashboard","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manage_register","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","تسجيل مستفيدين البرامج","program_manage_register.php","https://www.sarh.org.sa/rafed/program_manage_register.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manage_register","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manage_register_database","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","سجلات مستفيدين البرامج","program_manage_register_database.php","https://www.sarh.org.sa/rafed/program_manage_register_database.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manage_register_database","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manage_requests","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","طلبات الانضمام للبرامج","program_manage_requests.php","https://www.sarh.org.sa/rafed/program_manage_requests.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manage_requests","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manage_schedule","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","إيام و فعاليات البرامج","program_manage_schedule.php","https://www.sarh.org.sa/rafed/program_manage_schedule.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manage_schedule","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manage_attendance","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","تسجيل غياب و حضور الفعاليات","program_manage_attendance.php","https://www.sarh.org.sa/rafed/program_manage_attendance.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manage_attendance","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manage_certificates_issue","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","إصدار شهادات البرامج","program_manage_certificates_issue.php","https://www.sarh.org.sa/rafed/program_manage_certificates_issue.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manage_certificates_issue","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manage_followup","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","طلب متابعة حالة","program_manage_followup.php","https://www.sarh.org.sa/rafed/program_manage_followup.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manage_followup","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manage_reports","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","إدارة تقارير البرامج","program_manage_reports.php","https://www.sarh.org.sa/rafed/program_manage_reports.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manage_reports","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manage_survey","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","إدارة استبيانات البرامج","program_manage_survey.php","https://www.sarh.org.sa/rafed/program_manage_survey.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manage_survey","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manage_survey_records","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","سجلات استبيانات البرامج","program_manage_survey_records.php","https://www.sarh.org.sa/rafed/program_manage_survey_records.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manage_survey_records","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_zap_special","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","إضافة برنامج مؤرشف","program_zap_special.php","https://www.sarh.org.sa/rafed/program_zap_special.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_zap_special","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_zap_update","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","تحديث بيانات برنامج","program_zap_update.php","https://www.sarh.org.sa/rafed/program_zap_update.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_zap_update","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_zap_cancel","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","إلغاء برنامج","program_zap_cancel.php","https://www.sarh.org.sa/rafed/program_zap_cancel.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_zap_cancel","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_zap_database_pending","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","البرامج قيد الاعتماد","program_zap_database_pending.php","https://www.sarh.org.sa/rafed/program_zap_database_pending.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_zap_database_pending","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_zap_database_marketing","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","البرامج قيد التسويق","program_zap_database_marketing.php","https://www.sarh.org.sa/rafed/program_zap_database_marketing.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_zap_database_marketing","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_zap_database_approved","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","البرامج المعتمدة / الجارية","program_zap_database_approved.php","https://www.sarh.org.sa/rafed/program_zap_database_approved.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_zap_database_approved","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_zap_database_completed","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","البرامج المكتملة","program_zap_database_completed.php","https://www.sarh.org.sa/rafed/program_zap_database_completed.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_zap_database_completed","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_zap_database_note","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","البرامج المرفوضة مع ملاحظة","program_zap_database_note.php","https://www.sarh.org.sa/rafed/program_zap_database_note.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_zap_database_note","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_zap_database_rejected","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","البرامج المرفوضة نهائيا","program_zap_database_rejected.php","https://www.sarh.org.sa/rafed/program_zap_database_rejected.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_zap_database_rejected","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_zap_database_cancelled","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","البرامج الملغاة","program_zap_database_cancelled.php","https://www.sarh.org.sa/rafed/program_zap_database_cancelled.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_zap_database_cancelled","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_zap_database","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","قاعدة بيانات البرامج","program_zap_database.php","https://www.sarh.org.sa/rafed/program_zap_database.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_zap_database","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_zap_registered","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","سجل المستفيدين من البرامج","program_zap_registered.php","https://www.sarh.org.sa/rafed/program_zap_registered.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_zap_registered","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_zap_statistics","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","إحصائيات البرامج","program_zap_statistics.php","https://www.sarh.org.sa/rafed/program_zap_statistics.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_zap_statistics","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_zap_special_database","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","قاعدة بيانات البرامج المؤرشفة","program_zap_special_database.php","https://www.sarh.org.sa/rafed/program_zap_special_database.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_zap_special_database","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manager_dashboard","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","لوحة تحكم البرامج","program_manager_dashboard.php","https://www.sarh.org.sa/rafed/program_manager_dashboard.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manager_dashboard","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manager_update","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","تحديث بيانات البرامج","program_manager_update.php","https://www.sarh.org.sa/rafed/program_manager_update.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manager_update","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manager_tasks","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","إدارة مهام البرامج","program_manager_tasks.php","https://www.sarh.org.sa/rafed/program_manager_tasks.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manager_tasks","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manager_tasks_new","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","مهام البرامج الجديدة","program_manager_tasks_new.php","https://www.sarh.org.sa/rafed/program_manager_tasks_new.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manager_tasks_new","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manager_tasks_running","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","مهام البرامج الجارية","program_manager_tasks_running.php","https://www.sarh.org.sa/rafed/program_manager_tasks_running.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manager_tasks_running","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manager_tasks_failed","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","مهام البرامج المتعثرة","program_manager_tasks_failed.php","https://www.sarh.org.sa/rafed/program_manager_tasks_failed.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manager_tasks_failed","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manager_tasks_completed","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","مهام البرامج المنجزة","program_manager_tasks_completed.php","https://www.sarh.org.sa/rafed/program_manager_tasks_completed.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manager_tasks_completed","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manager_tasks_finished","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","مهام البرامج المكتملة","program_manager_tasks_finished.php","https://www.sarh.org.sa/rafed/program_manager_tasks_finished.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manager_tasks_finished","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manager_publish","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","نشر برنامج للتسجيل","program_manager_publish.php","https://www.sarh.org.sa/rafed/program_manager_publish.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manager_publish","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manager_certificates_templates","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","إدارة نماذج شهادات البرامج","program_manager_certificates_templates.php","https://www.sarh.org.sa/rafed/program_manager_certificates_templates.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manager_certificates_templates","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"programs-projects-designs.program_manager_statistics","programs-projects-designs","إدارة البرامج والمشاريع والتصاميم","إحصائيات البرامج","program_manager_statistics.php","https://www.sarh.org.sa/rafed/program_manager_statistics.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/programs-projects-designs.program_manager_statistics","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
